URL,Название,Область,Город/Село,Район,Цена,Тип предложения,Площадь участка,Местоположение,Коммуникации,Разное,Правоустанавливающие документы,Возможность рассрочки,Возможность ипотеки,Возможность обмена
,"Участок, 5 соток",Чуйская область,Бишкек,Ак-Орго ж/м,$ 75 000,от агента,5 соток,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","госакт, все документы, времянка","договор купли-продажи, красная книга",нет,есть,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,с. Военно-Антоновка,,$ 45 000,от агента,4 сотки,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","госакт, все документы, времянка","договор купли-продажи, красная книга",нет,есть,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,Ак-Ордо 3 ж/м,$ 39 000,от агента,4 сотки,в городе,"свет, интернет, вода","госакт, все документы, времянка","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 40 соток",Чуйская область,с. Гавриловка,,$ 400 000,от агента,40 соток,в пригороде,"свет, газ, вода","госакт, удобно под коммерцию, ровный, удобный въезд, все документы, возможна аренда","договор купли-продажи, красная книга",есть,есть,рассмотрю варианты
,"Участок, 7000 соток",Чуйская область,Бишкек,с. Пригородное,$ 175 000,от агента,7000 соток,в пригороде,"свет, газ, вода","госакт, удобно под коммерцию, ровный, удобный въезд, все документы, возможна аренда","договор купли-продажи, красная книга",есть,есть,рассмотрю варианты
,"Участок, 150 соток",Иссык-Кульская область,с. Бостери,,$ 130 000,от агента,150 соток,в предгорьях,"свет, газ, вода","госакт, удобно под коммерцию, ровный, удобный въезд, все документы, возможна аренда","договор купли-продажи, красная книга",есть,есть,рассмотрю варианты
,"Участок, 5 соток",Чуйская область,Бишкек,Ала-Арча ж/м,$ 265 000,от собственника,5 соток,в городе,"свет, газ, вода","госакт, удобно под коммерцию, ровный, удобный въезд, все документы, возможна аренда","красная книга, технический паспорт, договор купли-продажи",есть,есть,рассмотрю варианты
,"Участок, 13 соток",Орловка,Московская/Правда,,$ 35 000,от собственника,13 соток,в городе,"свет, газ, вода","дом, времянка, все документы","красная книга, технический паспорт",есть,есть,рассмотрю варианты
,"Участок, 6 соток",Чуйская область,Бишкек,Карпинка,$ 335 000,от агента,6 соток,в городе,"канализация, телефон, вода, отопление, интернет, газ, свет","удобно под коммерцию, госакт, огорожен, все документы","технический паспорт, договор купли-продажи, красная книга",есть,есть,обмен не предлагать
,"Участок, 17 соток",Чуйская область,Бишкек,с. Маевка,$ 227 000,от агента,17 соток,в городе,"свет, газ, интернет, вода, телефон","огорожен, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",есть,есть,обмен не предлагать
,"Участок, 70 соток",с. Кой-Таш,12 каминов,,$ 125 000,от агента,70 соток,в городе,"свет, вода",все документы,"договор купли-продажи, зеленая книга",есть,есть,с доплатой покупателя
,"Участок, 50 соток",Чуйская область,Бишкек,с. Аламудун,$ 50 000,от агента,50 соток,в городе,"свет, газ, интернет, вода","огорожен, удобно под коммерцию, все документы","договор купли-продажи, красная книга",есть,есть,с доплатой покупателя
,"Участок, 1850 соток",Нарынская область,с. Мин-Куш,,$ 1 390 000,от агента,1850 соток,в городе,"свет, вода","удобный въезд, все документы","договор купли-продажи, красная книга",есть,есть,рассмотрю варианты
,"Участок, 5 соток",Чуйская область,Бишкек,с. Орто-Сай,$ 110 000,от агента,5 соток,вдоль трассы,"свет, интернет, вода, газ","удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты
,"Участок, 5 соток",с. Кашка-Суу,Эсенкул Дыйканалиев 104/Ала Арча,,$ 75 000,от агента,5 соток,вдоль трассы,"свет, интернет, вода","ровный, удобный въезд, все документы","договор купли-продажи, красная книга",есть,есть,рассмотрю варианты
,"Участок, 5 соток",Иссык-Кульская область,с. Чон-Сары-Ой,,$ 40 000,от собственника,5 соток,вдоль трассы,"свет, интернет, вода","ровный, удобный въезд, все документы","договор купли-продажи, красная книга",есть,есть,рассмотрю варианты
,"Участок, 16 соток",Чуйская область,Бишкек,Орозбекова - Жибек-Жолу 122/Орозбеков,$ 720 000,от собственника,16 соток,в городе,"свет, интернет, вода","ровный, удобный въезд, все документы","договор купли-продажи, красная книга",есть,есть,рассмотрю варианты
,"Участок, 4 сотки",Чуйская область,Бишкек,Горького - Панфилова,$ 270 000,от агента,4 сотки,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","хозпостройки, огорожен, дом, времянка, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 22 сотки",Чуйская область,Бишкек,Баха,$ 850 000,от агента,22 сотки,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","хозпостройки, огорожен, дом, времянка, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,Мурас-Ордо ж/м,$ 37 000,от агента,4 сотки,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","хозпостройки, огорожен, дом, времянка, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 1200 соток",Чуйская область,с. Кара Джыгач,,$ 84 000,от агента,1200 соток,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","хозпостройки, огорожен, дом, времянка, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 7 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 152 000,от собственника,7 соток,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","хозпостройки, огорожен, дом, времянка, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,с. Чон-Арык,$ 160 000,от собственника,8 соток,в городе,"газ, свет, интернет, вода","госакт, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 10.5 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 230 000,от собственника,10.5 соток,в городе,"свет, газ, вода, канализация","сад, огорожен, дом, ровный, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 3 сотки",Чуйская область,Бишкек,Карпинка,$ 140 000,от собственника,3 сотки,в городе,"свет, вода, канализация","фундамент, хозпостройки, дом, времянка, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 9 соток",Чуйская область,Бишкек,с. Орто-Сай,$ 280 000,от агента,9 соток,в городе,"канализация, телефон, вода, отопление, интернет, газ, свет","все документы, удобный въезд, ровный, возможна аренда, времянка, дом, удобно под коммерцию, госакт, ж/д тупик, огорожен, хозпостройки, сад, фундамент","красная книга, технический паспорт",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,с. Кой-Таш,,$ 59 000,от собственника,5 соток,в городе,"свет, интернет, вода, телефон","все документы, удобный въезд, ровный, возможна аренда, времянка, дом, удобно под коммерцию, госакт, ж/д тупик, огорожен, хозпостройки, сад, фундамент","красная книга, договор купли-продажи",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Ден Сяопина - Фучика 8/Жибек Жолу,$ 255 000,от собственника,8 соток,в городе,"свет, интернет, вода, телефон","все документы, удобный въезд, ровный, возможна аренда, времянка, дом, удобно под коммерцию, госакт, ж/д тупик, огорожен, хозпостройки, сад, фундамент","красная книга, свидетельство о праве на наследство",нет,нет,обмен не предлагать
,"Участок, 12 соток",Чуйская область,с. Беш-Кунгей,,$ 270 000,от агента,12 соток,в городе,"свет, интернет, вода, телефон","все документы, удобный въезд, ровный, возможна аренда, времянка, дом, удобно под коммерцию, госакт, ж/д тупик, огорожен, хозпостройки, сад, фундамент","красная книга, свидетельство о праве на наследство",нет,нет,обмен не предлагать
,"Участок, 134 сотки",с. Ак-Джол,СТФ-2 5/4/Фучика,,$ 900 000,от агента,134 сотки,в городе,"свет, интернет, вода, телефон",ровный,красная книга,нет,нет,обмен не предлагать
,"Участок, 126 соток",с. Ак-Джол,СТФ-2 5/4/Фучика,,$ 800 000,от агента,126 соток,в городе,"свет, интернет, вода, телефон",ровный,красная книга,нет,нет,обмен не предлагать
,"Участок, 200 соток",с. Ак-Джол,СТФ-2 5/4/Фучика,,$ 1 800 000,от агента,200 соток,в городе,"свет, интернет, вода, телефон","хозпостройки, ровный, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 8.18 соток",Чуйская область,Бишкек,Гоин,$ 400 000,от агента,8.18 соток,в городе,"свет, газ, интернет, вода, канализация","хозпостройки, ровный, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 7 соток",Чуйская область,Бишкек,Аламединский рынок,$ 160 000,от собственника,7 соток,в городе,"канализация, газ, свет, вода","все документы, удобно под коммерцию",красная книга,нет,нет,обмен не предлагать
,"Участок, 10 соток",Чуйская область,Бишкек,КНУ,$ 1 100 000,от агента,10 соток,в городе,"канализация, газ, свет, вода","все документы, удобно под коммерцию",красная книга,нет,нет,обмен не предлагать
,"Участок, 13 соток",Чуйская область,Бишкек,с. Нижняя Ала-Арча,$ 195 000,от собственника,13 соток,в городе,"свет, газ, интернет, отопление, вода","сад, хозпостройки, огорожен, удобно под коммерцию, дом, времянка, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 116 соток",Чуйская область,с. Первомайское (Ысык-Атинский р-н),,$ 6 700,от агента,116 соток,в городе,"свет, газ, интернет, отопление, вода","сад, хозпостройки, огорожен, удобно под коммерцию, дом, времянка, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,ж/м Биримдик Кут,$ 90 000,от собственника,8 соток,в городе,"свет, вода","хозпостройки, госакт, удобно под коммерцию, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 140 соток",Чуйская область,с. Беш-Кунгей,,$ 300 000,от собственника,140 соток,вдоль трассы,"свет, вода","госакт, ровный, удобный въезд, все документы, удобно под коммерцию","договор купли-продажи, зеленая книга",нет,нет,рассмотрю варианты
,"Участок, 6 соток",Чуйская область,Бишкек,Кара-Жыгач ж/м,$ 162 500,от собственника,6 соток,вдоль трассы,"свет, газ, интернет, вода, телефон, канализация","фундамент, огорожен, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","красная книга, технический паспорт",нет,нет,рассмотрю варианты
