URL,Название,Область,Город/Село,Район,Цена,Тип предложения,Дом,Кол-во этажей,Площадь,Площадь участка,Отопление,Состояние,Телефон,Интернет,Санузел,Канализация,Питьевая вода,Электричество,Газ,Мебель,Пол,Безопасность,Высота потолков,Правоустанавливающие документы,Возможность рассрочки,Возможность ипотеки,Возможность обмена,Разное,Серия,Входная дверь,Местоположение,Коммуникации,Парковка
,"Дом, 3-комн., 81 м2",Иссык-Кульская область,с. Сары-Ой,,$ 225 000,от собственника,кирпичный,1,81 м2,3 сотки,электрическое,хорошее,возможно подключение,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"решетки на окнах, видеонаблюдение",2.5 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать,"бассейн, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 86 м2",Иссык-Кульская область,с. Сары-Ой,,$ 90 000,от собственника,каркасно-щитовой,1,86 м2,4 сотки,электрическое,евроремонт,нет,adsl,2 с/у и более,центральная,скважина,есть,нет,полностью меблирована,ламинат,охрана,3.2 м.,"технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, бассейн, хозпостройки, навес, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 135 м2",с. Кой-Таш,Улица Пушкина 33/2а/Улица Сейден Дуйшонбек уулу,,$ 230 000,от собственника,"сэндвич-панели, 2024 г.",1,135 м2,5 соток,электрическое,евроремонт,возможно подключение,проводной,2 с/у и более,септик,центральное водоснабжение,есть,возможно подключение,частично меблирована,ламинат,охрана,2800 м.,договор купли-продажи,нет,есть,обмен не предлагать,"пластиковые окна, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 280 м2",Иссык-Кульская область,с. Чок-Тал,,$ 500 500,от собственника,"кирпичный, 2024 г.",1,"280 м2, жилая: 220 м2, кухня: 30 м2",7 соток,электрическое,евроремонт,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,возможно подключение,частично меблирована,ламинат,"сигнализация, видеодомофон, охрана, видеонаблюдение, консьерж",3 м.,договор долевого участия,нет,есть,обмен не предлагать,"бассейн, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 120 м2",с. Новониколаевка,Кирова 56/Зеленая,,$ 75 000,от собственника,"шлакоблочный, 1994 г.",1,"120 м2, жилая: 100 м2, кухня: 10 м2",20 соток,на твердом топливе,среднее,возможно подключение,оптика,2 с/у и более,септик,центральное водоснабжение,есть,возможно подключение,частично меблирована,дерево,"сигнализация, видеодомофон, охрана, видеонаблюдение, консьерж",3 м.,договор купли-продажи,есть,есть,рассмотрю варианты,"пластиковые окна, сад, баня, хозпостройки, навес, гараж, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 100.9 м2",Чуйская область,Бишкек,Ак-Орго ж/м,$ 165 000,от агента,"шлакоблочный, 1994 г.",1,"100.9 м2, жилая: 100.9 м2",5 соток,на твердом топливе,среднее,возможно подключение,оптика,2 с/у и более,септик,центральное водоснабжение,есть,возможно подключение,частично меблирована,дерево,"сигнализация, видеодомофон, охрана, видеонаблюдение, консьерж",3 м.,договор купли-продажи,есть,есть,рассмотрю варианты,"пластиковые окна, сад, баня, хозпостройки, навес, гараж, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 240 м2",Чуйская область,Бишкек,Кара Дарыя,$ 430 000,от агента,"кирпичный, 2010 г.",2,"240 м2, жилая: 240 м2",4.6 сотки,на газе,хорошее,есть,adsl,совмещенный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,"решетки на окнах, домофон",2 м.,"договор купли-продажи, технический паспорт, красная книга, акт ввода в эксплуатацию",есть,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, навес, сауна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 234 м2",с. Арашан,Молдобекова,,$ 255 000,от агента,"кирпичный, 2010 г.",2,"234 м2, жилая: 234 м2",3 сотки,на газе,хорошее,есть,adsl,совмещенный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,"решетки на окнах, домофон",2 м.,"договор купли-продажи, технический паспорт, красная книга, акт ввода в эксплуатацию",есть,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, навес, сауна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 30 м2",Чуйская область,Бишкек,Киргизия 1 ж/м,$ 1 040 000,от агента,"кирпичный, 2010 г.",1,"30 м2, жилая: 30 м2",20 соток,на газе,хорошее,есть,adsl,совмещенный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,"решетки на окнах, домофон",2 м.,"договор купли-продажи, технический паспорт, красная книга, акт ввода в эксплуатацию",есть,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, навес, сауна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 101.8 м2",Чуйская область,Бишкек,Токольдош ж/м,$ 180 000,от агента,другое,1,"101.8 м2, жилая: 101.8 м2",5.4 соток,на газе,среднее,есть,adsl,совмещенный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,"решетки на окнах, домофон",2 м.,"договор купли-продажи, технический паспорт, красная книга, акт ввода в эксплуатацию",есть,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, навес, сауна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 55 м2",Чуйская область,Бишкек,Лебединовка,$ 98 500,от агента,другое,2,55 м2,6 соток,на газе,среднее,есть,adsl,совмещенный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,"решетки на окнах, домофон",2 м.,"договор купли-продажи, технический паспорт, красная книга, акт ввода в эксплуатацию",есть,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, навес, сауна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 277 м2",Чуйская область,Бишкек,Учкун ж/м,$ 260 000,от агента,кирпичный,2,"277 м2, жилая: 277 м2",15 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 70 м2",Чуйская область,Бишкек,Алтын-Ордо ж/м,$ 135 000,от агента,кирпичный,1,"70 м2, жилая: 70 м2",5 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 120 м2",Чуйская область,Бишкек,Матросова,$ 395 000,от агента,"кирпичный, 2017 г.",1,"120 м2, жилая: 120 м2",4.9 сотки,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 230 м2",Чуйская область,Бишкек,Ак-Орго ж/м,$ 175 000,от агента,кирпичный,1,"230 м2, жилая: 230 м2",5 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 66 м2",Чуйская область,Бишкек,Чуй - Алматинка,$ 69 000,от агента,кирпичный,1,"66 м2, жилая: 66 м2",0.9,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 235 м2",Чуйская область,Бишкек,Церковь,$ 360 000,от агента,"кирпичный, 2017 г.",2,235 м2,8 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 61.1 м2",Чуйская область,Бишкек,Аламединский рынок,$ 185 000,от агента,кирпичный,1,"61.1 м2, жилая: 61.1 м2",6 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 400 м2",Чуйская область,Бишкек,Баха,$ 385 000,от агента,кирпичный,2,400 м2,7 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 132.3 м2",Чуйская область,Бишкек,Ак-Босого ж/м,$ 170 000,от агента,кирпичный,1,"132.3 м2, жилая: 132.3 м2",8 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 300 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 360 000,от агента,кирпичный,2,"300 м2, жилая: 300 м2",4 сотки,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 200 м2",Чуйская область,Бишкек,Учкун-2 ж/м,$ 160 000,от агента,кирпичный,2,"200 м2, жилая: 200 м2",6 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 180 м2",Чуйская область,Бишкек,Учкун ж/м,$ 230 000,от агента,кирпичный,2,"180 м2, жилая: 180 м2",5.25 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 165 м2",Чуйская область,Бишкек,с. Новопавловка,$ 125 000,от агента,кирпичный,2,"165 м2, жилая: 165 м2",8 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 170 м2",с. Беш-Кунгей,Мамыркулова Темиркана,,$ 160 000,от агента,кирпичный,2,"170 м2, жилая: 170 м2",0.3,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 170 м2",с. Беш-Кунгей,Мамыркулова Темиркана,,$ 160 000,от агента,кирпичный,2,"170 м2, жилая: 170 м2",0.3,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 170 м2",с. Беш-Кунгей,Мамыркулова Темиркана,,$ 160 000,от агента,"кирпичный, 1967 г.",2,"170 м2, жилая: 170 м2",2.5 сотки,на газе,хорошее,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 206.5 м2",Чуйская область,Бишкек,Горького - Панфилова,$ 230 000,от агента,кирпичный,2,"206.5 м2, жилая: 206.5 м2",2.4 сотки,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 220 м2",Чуйская область,Бишкек,Горького - Панфилова,$ 268 000,от агента,"кирпичный, 1967 г.",3,"220 м2, жилая: 220 м2",4.3 сотки,на газе,хорошее,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 91 м2",Чуйская область,Бишкек,с. Аламудун,$ 243 000,от агента,"кирпичный, 1967 г.",1,91 м2,9.8 соток,на газе,хорошее,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,паркет,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 280 м2",Чуйская область,Бишкек,Кудайберген,$ 260 000,от агента,"кирпичный, 2022 г.",2,280 м2,5 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 2-комн., 71 м2",Чуйская область,Бишкек,Западный автовокзал,$ 65 000,от агента,кирпичный,1,"71 м2, кухня: 20 м2",2.5 сотки,на газе,хорошее,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,"решетки на окнах, домофон, сигнализация, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 2-комн., 40 м2",Чуйская область,Бишкек,с. Пригородное,$ 46 500,от агента,"кирпичный, 1977 г.",1,40 м2,2.5 сотки,на газе,хорошее,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"видеодомофон, кодовый замок, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 2-комн., 63 м2",Чуйская область,Бишкек,Ак-Босого ж/м,$ 68 000,от агента,"кирпичный, 1972 г.",1,"63 м2, жилая: 63 м2",4 сотки,на газе,среднее,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,пустая,линолеум,"видеодомофон, кодовый замок, видеонаблюдение",2.5 м.,"договор дарения, технический паспорт, красная книга",нет,нет,с доплатой покупателя,"пластиковые окна, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 360 м2",Ошская область,Ош,,$ 4 200 000,от собственника,"кирпичный, 2010 г.",3,360 м2,6 соток,на газе,евроремонт,есть,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"видеодомофон, кодовый замок, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты,"пластиковые окна, сад, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 37 м2",Чуйская область,Бишкек,Рабочий Городок,$ 73 000,от агента,"кирпичный, 2024 г.",1,"37 м2, жилая: 37 м2",3 сотки,автономное,под самоотделку (псо),нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,пустая,линолеум,"видеодомофон, кодовый замок, видеонаблюдение",2.5 м.,"договор дарения, технический паспорт, красная книга",нет,есть,с доплатой покупателя,"пластиковые окна, хозпостройки",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 80 м2",с. Таш-Добо,Советская,,$ 105 000,от агента,"кирпичный, 2011 г.",1,"80 м2, жилая: 80 м2",11 соток,на газе,хорошее,есть,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"видеодомофон, кодовый замок, видеонаблюдение",300 м.,"договор купли-продажи, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, баня, навес, гараж, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
